   Time             Pg                Vg                Vr                Qg              
 1.770000000E-003  3.243570621E-002  2.650060494E+002  1.925400640E+002  7.305378870E-001 
 1.780000000E-003  3.343199826E-002  2.657984171E+002  1.934600365E+002  7.305378870E-001 
 1.790000000E-003  3.445309510E-002  2.665870072E+002  1.943772595E+002  7.305378870E-001 
 1.800000000E-003  3.549946987E-002  2.673718085E+002  1.952917199E+002  7.305378870E-001 
 1.810000000E-003  3.657160192E-002  2.681528098E+002  1.962034049E+002  7.305378870E-001 
 1.820000000E-003  3.766997687E-002  2.689300001E+002  1.971123013E+002  7.305378870E-001 
 1.830000000E-003  3.879508661E-002  2.697033684E+002  1.980183964E+002  1.370239025E+000 
 1.840000000E-003  3.994742938E-002  2.704729035E+002  1.989216771E+002  1.370239025E+000 
 1.850000000E-003  4.112750979E-002  2.712385946E+002  1.998221308E+002  1.370239025E+000 
 1.860000000E-003  4.233583888E-002  2.720004309E+002  2.007197445E+002  1.370239025E+000 
 1.870000000E-003  4.357293415E-002  2.727584014E+002  2.016145056E+002  1.370239025E+000 
 1.880000000E-003  4.483931958E-002  2.735124953E+002  2.025064012E+002  1.370239025E+000 
 1.890000000E-003  4.613552572E-002  2.742627021E+002  2.033954188E+002  1.370239025E+000 
 1.900000000E-003  4.746208967E-002  2.750090110E+002  2.042815457E+002  1.370239025E+000 
 1.910000000E-003  4.881955517E-002  2.757514114E+002  2.051647694E+002  1.370239025E+000 
 1.920000000E-003  5.020847263E-002  2.764898928E+002  2.060450771E+002  1.370239025E+000 
 1.930000000E-003  5.162939913E-002  2.772244446E+002  2.069224565E+002  1.370239025E+000 
 1.940000000E-003  5.308289852E-002  2.779550565E+002  2.077968951E+002  1.370239025E+000 
 1.950000000E-003  5.456954142E-002  2.786817180E+002  2.086683805E+002  1.370239025E+000 
 1.960000000E-003  5.608990526E-002  2.794044188E+002  2.095369001E+002  1.370239025E+000 
 1.970000000E-003  5.764457436E-002  2.801231487E+002  2.104024419E+002  1.370239025E+000 
 1.980000000E-003  5.923413990E-002  2.808378974E+002  2.112649933E+002  1.370239025E+000 
 1.990000000E-003  6.085920002E-002  2.815486548E+002  2.121245422E+002  1.370239025E+000 
 2.000000000E-003  6.252035983E-002  2.822554107E+002  2.129810763E+002  1.370239025E+000 
 2.010000000E-003  6.421823147E-002  2.829581552E+002  2.138345835E+002  1.370239025E+000 
 2.020000000E-003  6.595343410E-002  2.836568782E+002  2.146850516E+002  1.370239025E+000 
 2.030000000E-003  6.772659400E-002  2.843515698E+002  2.155324686E+002  1.370239025E+000 
 2.040000000E-003  6.953834458E-002  2.850422201E+002  2.163768224E+002  1.370239025E+000 
 2.050000000E-003  7.138932640E-002  2.857288194E+002  2.172181010E+002  1.370239025E+000 
 2.060000000E-003  7.328018723E-002  2.864113578E+002  2.180562924E+002  1.370239025E+000 
 2.070000000E-003  7.521158210E-002  2.870898257E+002  2.188913848E+002  1.370239025E+000 
 2.080000000E-003  7.718417329E-002  2.877642134E+002  2.197233662E+002  1.370239025E+000 
 2.090000000E-003  7.919863043E-002  2.884345114E+002  2.205522249E+002  2.356720016E+000 
 2.100000000E-003  8.125563048E-002  2.891007100E+002  2.213779491E+002  2.356720016E+000 
 2.110000000E-003  8.335585781E-002  2.897627999E+002  2.222005269E+002  2.356720016E+000 
 2.120000000E-003  8.550000420E-002  2.904207716E+002  2.230199469E+002  2.356720016E+000 
 2.130000000E-003  8.768876890E-002  2.910746158E+002  2.238361972E+002  2.356720016E+000 
 2.140000000E-003  8.992285866E-002  2.917243232E+002  2.246492663E+002  2.356720016E+000 
 2.150000000E-003  9.220298777E-002  2.923698845E+002  2.254591426E+002  2.356720016E+000 
 2.160000000E-003  9.452987809E-002  2.930112906E+002  2.262658147E+002  2.356720016E+000 
 2.170000000E-003  9.690425909E-002  2.936485324E+002  2.270692710E+002  2.356720016E+000 
 2.180000000E-003  9.932686786E-002  2.942816008E+002  2.278695002E+002  2.356720016E+000 
 2.190000000E-003  1.017984492E-001  2.949104867E+002  2.286664909E+002  2.356720016E+000 
 2.200000000E-003  1.043197556E-001  2.955351814E+002  2.294602317E+002  2.356720016E+000 
