   Time             V3N               V2N               V1N               V23               V12               V31             
 3.330000000E-002  3.333329778E+001 -6.666659556E+001  3.333329778E+001 -9.999989333E+001  9.999989333E+001  0.000000000E+000 
 3.331000000E-002  3.333329778E+001 -6.666659556E+001  3.333329778E+001 -9.999989333E+001  9.999989333E+001 -7.105427358E-015 
 3.332000000E-002  3.333329778E+001 -6.666659556E+001  3.333329778E+001 -9.999989333E+001  9.999989333E+001 -7.105427358E-015 
 3.333000000E-002  1.421085472E-014  0.000000000E+000  7.105427358E-015 -1.421085472E-014  7.105427358E-015  7.105427358E-015 
 3.334000000E-002  0.000000000E+000  0.000000000E+000  0.000000000E+000  0.000000000E+000  0.000000000E+000  0.000000000E+000 
 3.335000000E-002  3.333329778E+001 -6.666659556E+001  3.333329778E+001 -9.999989334E+001  9.999989334E+001 -1.421085472E-014 
 3.336000000E-002  3.333329778E+001 -6.666659556E+001  3.333329778E+001 -9.999989333E+001  9.999989333E+001  0.000000000E+000 
 3.337000000E-002  3.333329778E+001 -6.666659556E+001  3.333329778E+001 -9.999989333E+001  9.999989333E+001 -7.105427358E-015 
 3.338000000E-002  6.666659556E+001 -3.333329778E+001 -3.333329778E+001 -9.999989333E+001  1.421085472E-014  9.999989333E+001 
 3.339000000E-002  6.666659556E+001 -3.333329778E+001 -3.333329778E+001 -9.999989333E+001  7.105427358E-015  9.999989333E+001 
 3.340000000E-002  6.666659556E+001 -3.333329778E+001 -3.333329778E+001 -9.999989333E+001  7.105427358E-015  9.999989333E+001 
 3.341000000E-002  0.000000000E+000  0.000000000E+000 -1.421085472E-014  0.000000000E+000 -1.421085472E-014  1.421085472E-014 
 3.342000000E-002  7.105427358E-015  7.105427358E-015 -7.105427358E-015  0.000000000E+000 -1.421085472E-014  1.421085472E-014 
 3.343000000E-002  6.666659556E+001 -3.333329778E+001 -3.333329778E+001 -9.999989334E+001  1.421085472E-014  9.999989334E+001 
 3.344000000E-002  6.666659556E+001 -3.333329778E+001 -3.333329778E+001 -9.999989333E+001  1.421085472E-014  9.999989333E+001 
 3.345000000E-002  6.666659556E+001 -3.333329778E+001 -3.333329778E+001 -9.999989333E+001  1.421085472E-014  9.999989333E+001 
 3.346000000E-002  3.333329778E+001 -6.666659556E+001  3.333329778E+001 -9.999989333E+001  9.999989333E+001  0.000000000E+000 
 3.347000000E-002  3.333329778E+001 -6.666659556E+001  3.333329778E+001 -9.999989333E+001  9.999989333E+001 -2.131628207E-014 
 3.348000000E-002  3.333329778E+001 -6.666659556E+001  3.333329778E+001 -9.999989333E+001  9.999989333E+001 -7.105427358E-015 
 3.349000000E-002  7.105427358E-015  1.421085472E-014  1.421085472E-014  7.105427358E-015  0.000000000E+000 -7.105427358E-015 
 3.350000000E-002  7.105427358E-015  7.105427358E-015  0.000000000E+000  0.000000000E+000 -7.105427358E-015  7.105427358E-015 
 3.351000000E-002  3.333329778E+001 -6.666659556E+001  3.333329778E+001 -9.999989334E+001  9.999989334E+001  2.842170943E-014 
 3.352000000E-002  3.333329778E+001 -6.666659556E+001  3.333329778E+001 -9.999989333E+001  9.999989333E+001 -1.421085472E-014 
 3.353000000E-002  3.333329778E+001 -6.666659556E+001  3.333329778E+001 -9.999989333E+001  9.999989333E+001 -1.421085472E-014 
 3.354000000E-002  3.333329778E+001 -6.666659556E+001  3.333329778E+001 -9.999989333E+001  9.999989333E+001  0.000000000E+000 
 3.355000000E-002  6.666659556E+001 -3.333329778E+001 -3.333329778E+001 -9.999989333E+001  1.421085472E-014  9.999989333E+001 
 3.356000000E-002  6.666659556E+001 -3.333329778E+001 -3.333329778E+001 -9.999989333E+001  1.421085472E-014  9.999989333E+001 
 3.357000000E-002  6.666659556E+001 -3.333329778E+001 -3.333329778E+001 -9.999989333E+001  7.105427358E-015  9.999989333E+001 
 3.358000000E-002  0.000000000E+000  0.000000000E+000 -1.421085472E-014  0.000000000E+000 -1.421085472E-014  1.421085472E-014 
 3.359000000E-002  0.000000000E+000  0.000000000E+000 -7.105427358E-015  0.000000000E+000 -7.105427358E-015  7.105427358E-015 
 3.360000000E-002  6.666659556E+001 -3.333329778E+001 -3.333329778E+001 -9.999989334E+001  7.105427358E-015  9.999989334E+001 
 3.361000000E-002  6.666659556E+001 -3.333329778E+001 -3.333329778E+001 -9.999989333E+001  1.421085472E-014  9.999989333E+001 
 3.362000000E-002  6.666659556E+001 -3.333329778E+001 -3.333329778E+001 -9.999989333E+001  7.105427358E-015  9.999989333E+001 
 3.363000000E-002  3.333329778E+001 -6.666659556E+001  3.333329778E+001 -9.999989333E+001  9.999989333E+001 -1.421085472E-014 
 3.364000000E-002  3.333329778E+001 -6.666659556E+001  3.333329778E+001 -9.999989333E+001  9.999989333E+001 -1.421085472E-014 
 3.365000000E-002  3.333329778E+001 -6.666659556E+001  3.333329778E+001 -9.999989333E+001  9.999989333E+001 -2.131628207E-014 
 3.366000000E-002  7.105427358E-015  1.421085472E-014  0.000000000E+000  7.105427358E-015 -1.421085472E-014  7.105427358E-015 
 3.367000000E-002  7.105427358E-015  0.000000000E+000  7.105427358E-015 -7.105427358E-015  7.105427358E-015  0.000000000E+000 
 3.368000000E-002  3.333329778E+001 -6.666659556E+001  3.333329778E+001 -9.999989334E+001  9.999989334E+001  0.000000000E+000 
 3.369000000E-002  3.333329778E+001 -6.666659556E+001  3.333329778E+001 -9.999989333E+001  9.999989333E+001  0.000000000E+000 
 3.370000000E-002  3.333329778E+001 -6.666659556E+001  3.333329778E+001 -9.999989333E+001  9.999989333E+001 -7.105427358E-015 
 3.371000000E-002  3.333329778E+001 -6.666659556E+001  3.333329778E+001 -9.999989333E+001  9.999989333E+001 -2.842170943E-014 
 3.372000000E-002  6.666659556E+001 -3.333329778E+001 -3.333329778E+001 -9.999989333E+001  7.105427358E-015  9.999989333E+001 
 3.373000000E-002  6.666659556E+001 -3.333329778E+001 -3.333329778E+001 -9.999989333E+001  1.421085472E-014  9.999989333E+001 
 3.374000000E-002 -7.105427358E-015 -7.105427358E-015 -2.131628207E-014  0.000000000E+000 -1.421085472E-014  1.421085472E-014 
 3.375000000E-002  0.000000000E+000  0.000000000E+000 -1.421085472E-014  0.000000000E+000 -1.421085472E-014  1.421085472E-014 
 3.376000000E-002  0.000000000E+000  0.000000000E+000 -1.421085472E-014  0.000000000E+000 -1.421085472E-014  1.421085472E-014 
 3.377000000E-002  6.666659556E+001 -3.333329778E+001 -3.333329778E+001 -9.999989334E+001  1.421085472E-014  9.999989334E+001 
 3.378000000E-002  6.666659556E+001 -3.333329778E+001 -3.333329778E+001 -9.999989333E+001  7.105427358E-015  9.999989333E+001 
 3.379000000E-002  3.333329778E+001 -6.666659556E+001  3.333329778E+001 -9.999989333E+001  9.999989333E+001 -1.421085472E-014 
 3.380000000E-002  3.333329778E+001 -6.666659556E+001  3.333329778E+001 -9.999989333E+001  9.999989333E+001 -1.421085472E-014 
 3.381000000E-002  3.333329778E+001 -6.666659556E+001  3.333329778E+001 -9.999989333E+001  9.999989333E+001 -2.131628207E-014 
 3.382000000E-002  3.333329778E+001 -6.666659556E+001  3.333329778E+001 -9.999989333E+001  9.999989333E+001 -2.842170943E-014 
 3.383000000E-002  0.000000000E+000  0.000000000E+000  0.000000000E+000  0.000000000E+000  0.000000000E+000  0.000000000E+000 
 3.384000000E-002  7.105427358E-015  7.105427358E-015  7.105427358E-015  0.000000000E+000  0.000000000E+000  0.000000000E+000 
 3.385000000E-002  3.333329778E+001 -6.666659556E+001  3.333329778E+001 -9.999989333E+001  9.999989333E+001 -7.105427358E-015 
 3.386000000E-002  3.333329778E+001 -6.666659556E+001  3.333329778E+001 -9.999989333E+001  9.999989333E+001 -1.421085472E-014 
 3.387000000E-002  3.333329778E+001 -6.666659556E+001  3.333329778E+001 -9.999989333E+001  9.999989333E+001 -7.105427358E-015 
 3.388000000E-002  3.333329778E+001 -6.666659556E+001  3.333329778E+001 -9.999989333E+001  9.999989333E+001  0.000000000E+000 
 3.389000000E-002  6.666659556E+001 -3.333329778E+001 -3.333329778E+001 -9.999989333E+001  1.421085472E-014  9.999989333E+001 
 3.390000000E-002  6.666659556E+001 -3.333329778E+001 -3.333329778E+001 -9.999989333E+001  1.421085472E-014  9.999989333E+001 
 3.391000000E-002  0.000000000E+000  0.000000000E+000 -1.421085472E-014  0.000000000E+000 -1.421085472E-014  1.421085472E-014 
 3.392000000E-002  7.105427358E-015  7.105427358E-015 -7.105427358E-015  0.000000000E+000 -1.421085472E-014  1.421085472E-014 
 3.393000000E-002  0.000000000E+000  0.000000000E+000 -1.421085472E-014  0.000000000E+000 -1.421085472E-014  1.421085472E-014 
 3.394000000E-002  6.666659556E+001 -3.333329778E+001 -3.333329778E+001 -9.999989333E+001  1.421085472E-014  9.999989333E+001 
 3.395000000E-002  6.666659556E+001 -3.333329778E+001 -3.333329778E+001 -9.999989333E+001  1.421085472E-014  9.999989333E+001 
 3.396000000E-002  3.333329778E+001 -6.666659556E+001  3.333329778E+001 -9.999989333E+001  9.999989333E+001  1.421085472E-014 
 3.397000000E-002  3.333329778E+001 -6.666659556E+001  3.333329778E+001 -9.999989333E+001  9.999989333E+001 -1.421085472E-014 
 3.398000000E-002  3.333329778E+001 -6.666659556E+001  3.333329778E+001 -9.999989333E+001  9.999989333E+001  0.000000000E+000 
 3.399000000E-002  3.333329778E+001 -6.666659556E+001  3.333329778E+001 -9.999989333E+001  9.999989333E+001 -7.105427358E-015 
 3.400000000E-002  7.105427358E-015  7.105427358E-015  0.000000000E+000  0.000000000E+000 -7.105427358E-015  7.105427358E-015 
 3.401000000E-002  3.333329778E+001 -6.666659556E+001  3.333329778E+001 -9.999989334E+001  9.999989334E+001  0.000000000E+000 
 3.402000000E-002  3.333329778E+001 -6.666659556E+001  3.333329778E+001 -9.999989333E+001  9.999989333E+001 -7.105427358E-015 
 3.403000000E-002  3.333329778E+001 -6.666659556E+001  3.333329778E+001 -9.999989333E+001  9.999989333E+001 -1.421085472E-014 
 3.404000000E-002  3.333329778E+001 -6.666659556E+001  3.333329778E+001 -9.999989333E+001  9.999989333E+001 -1.421085472E-014 
 3.405000000E-002  3.333329778E+001 -6.666659556E+001  3.333329778E+001 -9.999989333E+001  9.999989333E+001 -1.421085472E-014 
 3.406000000E-002  6.666659556E+001 -3.333329778E+001 -3.333329778E+001 -9.999989333E+001  1.421085472E-014  9.999989333E+001 
 3.407000000E-002  0.000000000E+000  0.000000000E+000 -1.421085472E-014  0.000000000E+000 -1.421085472E-014  1.421085472E-014 
 3.408000000E-002  0.000000000E+000  0.000000000E+000 -1.421085472E-014  0.000000000E+000 -1.421085472E-014  1.421085472E-014 
 3.409000000E-002  7.105427358E-015  7.105427358E-015 -7.105427358E-015  0.000000000E+000 -1.421085472E-014  1.421085472E-014 
 3.410000000E-002  0.000000000E+000  0.000000000E+000 -1.421085472E-014  0.000000000E+000 -1.421085472E-014  1.421085472E-014 
 3.411000000E-002  6.666659556E+001 -3.333329778E+001 -3.333329778E+001 -9.999989333E+001  7.105427358E-015  9.999989333E+001 
 3.412000000E-002  3.333329778E+001 -6.666659556E+001  3.333329778E+001 -9.999989333E+001  9.999989333E+001  0.000000000E+000 
 3.413000000E-002  3.333329778E+001 -6.666659556E+001  3.333329778E+001 -9.999989333E+001  9.999989333E+001  7.105427358E-015 
 3.414000000E-002  3.333329778E+001 -6.666659556E+001  3.333329778E+001 -9.999989333E+001  9.999989333E+001  7.105427358E-015 
 3.415000000E-002  3.333329778E+001 -6.666659556E+001  3.333329778E+001 -9.999989333E+001  9.999989333E+001 -7.105427358E-015 
