   Time             Vo                Vq2               Vq1               Vo_             
 9.164000000E-002  3.021845989E-005  0.000000000E+000  0.000000000E+000 -1.301576880E+002 
 9.165000000E-002  2.329293249E-005  0.000000000E+000  0.000000000E+000 -1.288759902E+002 
 9.166000000E-002  1.988744296E-005  0.000000000E+000  0.000000000E+000 -1.250811771E+002 
 9.167000000E-002  1.994010136E-005  0.000000000E+000  0.000000000E+000 -1.189411247E+002 
 9.168000000E-002  2.326663364E-005  0.000000000E+000  0.000000000E+000 -1.107050696E+002 
 9.169000000E-002  2.957060065E-005  0.000000000E+000  0.000000000E+000 -1.006921622E+002 
 9.170000000E-002  3.845740498E-005  0.000000000E+000  0.000000000E+000 -8.927780808E+001 
 9.171000000E-002  4.945146384E-005  0.000000000E+000  0.000000000E+000 -7.687835756E+001 
 9.172000000E-002  6.201583396E-005  0.000000000E+000  0.000000000E+000 -6.393474948E+001 
 9.173000000E-002  7.557350080E-005  0.000000000E+000  0.000000000E+000 -5.089573385E+001 
 9.174000000E-002  8.952951014E-005  0.000000000E+000  0.000000000E+000 -3.820129691E+001 
 9.175000000E-002  1.032931125E-004  0.000000000E+000  0.000000000E+000 -2.626688575E+001 
 9.176000000E-002  1.162991127E-004  0.000000000E+000  0.000000000E+000 -1.546898341E+001 
 9.177000000E-002  1.280276716E-004  0.000000000E+000  0.000000000E+000 -6.132520490E+000 
 9.178000000E-002  1.380218843E-004  0.000000000E+000  0.000000000E+000  1.479471849E+000 
 9.179000000E-002  1.459025579E-004  0.000000000E+000  0.000000000E+000  7.173655922E+000 
 9.180000000E-002  1.513797342E-004  0.000000000E+000  0.000000000E+000  1.083141876E+001 
 9.181000000E-002  1.542606311E-004  0.000000000E+000  0.000000000E+000  1.241103763E+001 
 9.182000000E-002  1.544538166E-004  0.000000000E+000  0.000000000E+000  1.194698393E+001 
 9.183000000E-002  3.275022331E+002  1.000000000E+000  0.000000000E+000  9.086181883E+000 
 9.184000000E-002  3.275022048E+002  1.000000000E+000  0.000000000E+000  4.917437129E+000 
 9.185000000E-002  9.576246128E-005  1.000000000E+000  1.000000000E+000 -2.312486067E-001 
 9.186000000E-002  8.772539663E-005  1.000000000E+000  1.000000000E+000 -6.031720990E+000 
 9.187000000E-002  7.890857926E-005  1.000000000E+000  1.000000000E+000 -1.218881646E+001 
