   Time             Vo                Vo_             
 1.760000000E-003 -3.260849375E+002 -1.538013456E+002 
 1.770000000E-003 -3.260675413E+002 -1.545466496E+002 
 1.780000000E-003 -3.260496397E+002 -1.556005971E+002 
 1.790000000E-003 -3.260312356E+002 -1.569371404E+002 
 1.800000000E-003 -3.260123331E+002 -1.585316333E+002 
 1.810000000E-003 -3.259929369E+002 -1.603607751E+002 
 1.820000000E-003 -3.259730526E+002 -1.624025573E+002 
 1.830000000E-003  3.290464426E+002 -1.639688994E+002 
 1.840000000E-003  3.290644491E+002 -1.643735282E+002 
 1.850000000E-003 -3.259184008E+002 -1.641402613E+002 
 1.860000000E-003 -3.259007175E+002 -1.642960218E+002 
 1.870000000E-003 -3.258826770E+002 -1.646997064E+002 
 1.880000000E-003 -3.258641615E+002 -1.654162725E+002 
 1.890000000E-003 -3.258451731E+002 -1.664200649E+002 
 1.900000000E-003 -3.258257148E+002 -1.676867897E+002 
 1.910000000E-003 -3.258057903E+002 -1.691934610E+002 
 1.920000000E-003 -3.257854042E+002 -1.709183492E+002 
 1.930000000E-003 -3.257645616E+002 -1.728409312E+002 
 1.940000000E-003  3.292562187E+002 -1.745343273E+002 
 1.950000000E-003  3.292754901E+002 -1.750391838E+002 
 1.960000000E-003 -3.257061678E+002 -1.748465088E+002 
 1.970000000E-003 -3.256873386E+002 -1.750072652E+002 
 1.980000000E-003 -3.256681764E+002 -1.753982857E+002 
 1.990000000E-003 -3.256485714E+002 -1.760798745E+002 
 2.000000000E-003 -3.256285255E+002 -1.770281666E+002 
 2.010000000E-003 -3.256080416E+002 -1.782205640E+002 
 2.020000000E-003 -3.255871233E+002 -1.796356865E+002 
 2.030000000E-003 -3.255657747E+002 -1.812533238E+002 
 2.040000000E-003 -3.255440008E+002 -1.830543882E+002 
 2.050000000E-003  3.294780037E+002 -1.848592489E+002 
 2.060000000E-003  3.294985090E+002 -1.854604440E+002 
 2.070000000E-003 -3.254819878E+002 -1.853047959E+002 
 2.080000000E-003 -3.254620483E+002 -1.854640404E+002 
 2.090000000E-003 -3.254417995E+002 -1.858366514E+002 
 2.100000000E-003 -3.254211392E+002 -1.864784899E+002 
 2.110000000E-003 -3.254000694E+002 -1.873674161E+002 
 2.120000000E-003 -3.253785927E+002 -1.884824666E+002 
 2.130000000E-003 -3.253567125E+002 -1.898038086E+002 
 2.140000000E-003 -3.253344327E+002 -1.913126948E+002 
 2.150000000E-003 -3.253117579E+002 -1.929914200E+002 
 2.160000000E-003  3.297114141E+002 -1.948962256E+002 
 2.170000000E-003  3.297331187E+002 -1.955908733E+002 
 2.180000000E-003 -3.252462507E+002 -1.954704262E+002 
 2.190000000E-003 -3.252252401E+002 -1.956224457E+002 
 2.200000000E-003 -3.252039431E+002 -1.959717212E+002 
 2.210000000E-003 -3.251822653E+002 -1.965698850E+002 
 2.220000000E-003 -3.251602083E+002 -1.973964544E+002 
